base_metabolite,frequency,models_present,always_metanetx,sometimes_metanetx,standardization_rate
MNXM1949,4,,TRUE,TRUE,1
MNXM222,4,,TRUE,TRUE,1
MNXM236,4,,TRUE,TRUE,1
MNXM2561,4,,TRUE,TRUE,1
MNXM353,4,,TRUE,TRUE,1
MNXM355,4,,TRUE,TRUE,1
MNXM364,4,,TRUE,TRUE,1
MNXM370,4,,TRUE,TRUE,1
MNXM421,4,,TRUE,TRUE,1
MNXM529,4,,TRUE,TRUE,1
MNXM602,4,,TRUE,TRUE,1
MNXM621,4,,TRUE,TRUE,1
MNXM625,4,,TRUE,TRUE,1
MNXM704,4,,TRUE,TRUE,1
MNXM726752,4,,TRUE,TRUE,1
MNXM728337,4,,TRUE,TRUE,1
MNXM729594,4,,TRUE,TRUE,1
MNXM73,4,,TRUE,TRUE,1
MNXM732619,4,,TRUE,TRUE,1
MNXM734573,4,,TRUE,TRUE,1
MNXM738068,4,,TRUE,TRUE,1
MNXM739272,4,,TRUE,TRUE,1
MNXM739337,4,,TRUE,TRUE,1
MNXM744,4,,TRUE,TRUE,1
MNXM8340,4,,TRUE,TRUE,1
MNXM89582,4,,TRUE,TRUE,1
MNXM91126,4,,TRUE,TRUE,1
MNXM1043,3,,TRUE,TRUE,1
MNXM1094294,3,,TRUE,TRUE,1
MNXM1102441,3,,TRUE,TRUE,1
MNXM1103104,3,,TRUE,TRUE,1
MNXM1105732,3,,TRUE,TRUE,1
MNXM1106000,3,,TRUE,TRUE,1
MNXM1107752,3,,TRUE,TRUE,1
MNXM1107769,3,,TRUE,TRUE,1
MNXM1108092,3,,TRUE,TRUE,1
MNXM113,3,,TRUE,TRUE,1
MNXM1233,3,,TRUE,TRUE,1
MNXM1275,3,,TRUE,TRUE,1
MNXM1364206,3,,TRUE,TRUE,1
MNXM1364295,3,,TRUE,TRUE,1
MNXM1364662,3,,TRUE,TRUE,1
MNXM1370176,3,,TRUE,TRUE,1
MNXM1371083,3,,TRUE,TRUE,1
MNXM1372481,3,,TRUE,TRUE,1
MNXM1372482,3,,TRUE,TRUE,1
MNXM1380,3,,TRUE,TRUE,1
MNXM162258,3,,TRUE,TRUE,1
MNXM162989,3,,TRUE,TRUE,1
MNXM1653,3,,TRUE,TRUE,1
MNXM189,3,,TRUE,TRUE,1
MNXM195,3,,TRUE,TRUE,1
MNXM1985,3,,TRUE,TRUE,1
MNXM2182,3,,TRUE,TRUE,1
