"","taxon","Kingdom","Phylum","Class","Order","Family","Genus","accession"
"43","Clostridium lacusfryxellense","Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium",NA
"44","Bradyrhizobium sp. NAS80.1","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium",NA
"45","Nitrosomonas sp. Nm34","Bacteria","Pseudomonadota","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","Nitrosomonas",NA
"46","Bacillus amyloliquefaciens","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"47","Bacillus amyloliquefaciens","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"48","Bacillus sp. FJAT-26390","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"49","Bacillus sp. FJAT-26390","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"50","Rhizophagus clarus","Eukaryota","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus",NA
"51","Bacillus tianshenii","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"52","Bacillus tianshenii","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"53","Bradyrhizobium sp. WSM1417","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium",NA
"54","Bacillus sp. NTK074B","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"55","Bacillus sp. NTK074B","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"56","Bacillus safensis","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"57","Bacillus safensis","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"58","Bacillus sp. Soil768D1","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"59","Bacillus sp. Soil768D1","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"60","Clostridium botulinum","Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium",NA
"61","Nitrosomonas mobilis","Bacteria","Pseudomonadota","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","Nitrosomonas",NA
"62","Bacillus sp. REN3","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"63","Bacillus sp. REN3","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
