orig_met,without_compartment,new_met,new_met_out,compartment,conversion_successful,conversion_type,encoding_issues_fixed
c244_LPAREN_6_RPAREN_coa[m],c244(6)coa,c244(6)coa,c244(6)coa[m],m,FALSE,Unchanged,TRUE
c245_LPAREN_6_RPAREN_coa[m],c245(6)coa,c245(6)coa,c245(6)coa[m],m,FALSE,Unchanged,TRUE
c225_LPAREN_6_RPAREN_coa[m],c225(6)coa,c225(6)coa,c225(6)coa[m],m,FALSE,Unchanged,TRUE
c183_LPAREN_3_RPAREN_coa[m],c183(3)coa,c183(3)coa,c183(3)coa[m],m,FALSE,Unchanged,TRUE
c184_LPAREN_3_RPAREN_coa[m],c184(3)coa,c184(3)coa,c184(3)coa[m],m,FALSE,Unchanged,TRUE
c204_LPAREN_3_RPAREN_coa[m],c204(3)coa,c204(3)coa,c204(3)coa[m],m,FALSE,Unchanged,TRUE
c205_LPAREN_3_RPAREN_coa[m],c205(3)coa,c205(3)coa,c205(3)coa[m],m,FALSE,Unchanged,TRUE
c225_LPAREN_3_RPAREN_coa[m],c225(3)coa,c225(3)coa,c225(3)coa[m],m,FALSE,Unchanged,TRUE
c245_LPAREN_3_RPAREN_coa[m],c245(3)coa,c245(3)coa,c245(3)coa[m],m,FALSE,Unchanged,TRUE
c246_LPAREN_3_RPAREN_coa[m],c246(3)coa,c246(3)coa,c246(3)coa[m],m,FALSE,Unchanged,TRUE
c226_LPAREN_3_RPAREN_coa[m],c226(3)coa,c226(3)coa,c226(3)coa[m],m,FALSE,Unchanged,TRUE
c24dcoa[m],c24dcoa,c24dcoa,c24dcoa[m],m,FALSE,Unchanged,FALSE
c24hcoa[m],c24hcoa,c24hcoa,c24hcoa[m],m,FALSE,Unchanged,FALSE
c24ocoa[m],c24ocoa,c24ocoa,c24ocoa[m],m,FALSE,Unchanged,FALSE
c22dcoa[m],c22dcoa,c22dcoa,c22dcoa[m],m,FALSE,Unchanged,FALSE
c22hcoa[m],c22hcoa,c22hcoa,c22hcoa[m],m,FALSE,Unchanged,FALSE
c22ocoa[m],c22ocoa,c22ocoa,c22ocoa[m],m,FALSE,Unchanged,FALSE
c20dcoa[m],c20dcoa,c20dcoa,c20dcoa[m],m,FALSE,Unchanged,FALSE
c20hcoa[m],c20hcoa,c20hcoa,c20hcoa[m],m,FALSE,Unchanged,FALSE
c20ocoa[m],c20ocoa,c20ocoa,c20ocoa[m],m,FALSE,Unchanged,FALSE
c18dcoa[m],c18dcoa,c18dcoa,c18dcoa[m],m,FALSE,Unchanged,FALSE
c18hcoa[m],c18hcoa,c18hcoa,c18hcoa[m],m,FALSE,Unchanged,FALSE
c18ocoa[m],c18ocoa,c18ocoa,c18ocoa[m],m,FALSE,Unchanged,FALSE
c160[m],c160,c160,c160[m],m,FALSE,Unchanged,FALSE
c16dcoa[m],c16dcoa,c16dcoa,c16dcoa[m],m,FALSE,Unchanged,FALSE
c16hcoa[m],c16hcoa,c16hcoa,c16hcoa[m],m,FALSE,Unchanged,FALSE
c16ocoa[m],c16ocoa,c16ocoa,c16ocoa[m],m,FALSE,Unchanged,FALSE
c14dcoa[m],c14dcoa,c14dcoa,c14dcoa[m],m,FALSE,Unchanged,FALSE
c14hcoa[m],c14hcoa,c14hcoa,c14hcoa[m],m,FALSE,Unchanged,FALSE
c14ocoa[m],c14ocoa,c14ocoa,c14ocoa[m],m,FALSE,Unchanged,FALSE
c12dcoa[m],c12dcoa,c12dcoa,c12dcoa[m],m,FALSE,Unchanged,FALSE
c12hcoa[m],c12hcoa,c12hcoa,c12hcoa[m],m,FALSE,Unchanged,FALSE
c12ocoa[m],c12ocoa,c12ocoa,c12ocoa[m],m,FALSE,Unchanged,FALSE
c100coa[m],c100coa,c100coa,c100coa[m],m,FALSE,Unchanged,FALSE
c10dcoa[m],c10dcoa,c10dcoa,c10dcoa[m],m,FALSE,Unchanged,FALSE
c10hcoa[m],c10hcoa,c10hcoa,c10hcoa[m],m,FALSE,Unchanged,FALSE
c10ocoa[m],c10ocoa,c10ocoa,c10ocoa[m],m,FALSE,Unchanged,FALSE
c80coa[m],c80coa,c80coa,c80coa[m],m,FALSE,Unchanged,FALSE
c8dcoa[m],c8dcoa,c8dcoa,c8dcoa[m],m,FALSE,Unchanged,FALSE
c8hcoa[m],c8hcoa,c8hcoa,c8hcoa[m],m,FALSE,Unchanged,FALSE
c8ocoa[m],c8ocoa,c8ocoa,c8ocoa[m],m,FALSE,Unchanged,FALSE
c60coa[m],c60coa,c60coa,c60coa[m],m,FALSE,Unchanged,FALSE
c6dcoa[m],c6dcoa,c6dcoa,c6dcoa[m],m,FALSE,Unchanged,FALSE
c6hcoa[m],c6hcoa,c6hcoa,c6hcoa[m],m,FALSE,Unchanged,FALSE
c6ocoa[m],c6ocoa,c6ocoa,c6ocoa[m],m,FALSE,Unchanged,FALSE
c40coa[m],c40coa,c40coa,c40coa[m],m,FALSE,Unchanged,FALSE
c4dcoa[m],c4dcoa,c4dcoa,c4dcoa[m],m,FALSE,Unchanged,FALSE
c4hcoa[m],c4hcoa,c4hcoa,c4hcoa[m],m,FALSE,Unchanged,FALSE
gl[c],gl,gl,gl[c],c,FALSE,Unchanged,FALSE
c201coa[m],c201coa,MNXM164619,MNXM164619[m],m,TRUE,MetanetX conversion,FALSE
dctol[c],dctol,dctol,dctol[c],c,FALSE,Unchanged,FALSE
dhstro[c],dhstro,dhstro,dhstro[c],c,FALSE,Unchanged,FALSE
dcdol[c],dcdol,dcdol,dcdol[c],c,FALSE,Unchanged,FALSE
dcda[c],dcda,dcda,dcda[c],c,FALSE,Unchanged,FALSE
cdol[c],cdol,cdol,cdol[c],c,FALSE,Unchanged,FALSE
mzymst[c],mzymst,mzymst,mzymst[c],c,FALSE,Unchanged,FALSE
zymst[c],zymst,MNXM738369,MNXM738369[c],c,TRUE,MetanetX conversion,FALSE
acdbol[c],acdbol,acdbol,acdbol[c],c,FALSE,Unchanged,FALSE
ac8bol[c],ac8bol,ac8bol,ac8bol[c],c,FALSE,Unchanged,FALSE
ac7bol[c],ac7bol,ac7bol,ac7bol[c],c,FALSE,Unchanged,FALSE
pvd3[c],pvd3,pvd3,pvd3[c],c,FALSE,Unchanged,FALSE
chtrol[c],chtrol,chtrol,chtrol[c],c,FALSE,Unchanged,FALSE
7strol[c],7strol,7strol,7strol[c],c,FALSE,Unchanged,FALSE
chlestr[c],chlestr,chlestr,chlestr[c],c,FALSE,Unchanged,FALSE
