base_metabolite,frequency,models_present,always_metanetx,sometimes_metanetx,standardization_rate
C80e_c,1,,FALSE,FALSE,0
C90e_c,1,,FALSE,FALSE,0
CARBON_DASH_DIOXIDE_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
CB15LCTe_c,1,,FALSE,FALSE,0
CELLOBIOSE_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
CELLOBe_c,1,,FALSE,FALSE,0
CELLULOSE_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
CELLUe_c,1,,FALSE,FALSE,0
CER1,1,,FALSE,FALSE,0
CHEBI139520,1,,FALSE,FALSE,0
CHEBI139521,1,,FALSE,FALSE,0
CHEBI15446,1,,FALSE,FALSE,0
CHEBI17309,1,,FALSE,FALSE,0
CHEBI28223,1,,FALSE,FALSE,0
CHEBI35759,1,,FALSE,FALSE,0
CHEBI37671,1,,FALSE,FALSE,0
CHEBI48943,1,,FALSE,FALSE,0
CHEBI48945,1,,FALSE,FALSE,0
CHEBI49183,1,,FALSE,FALSE,0
CHEBI59080,1,,FALSE,FALSE,0
CHEBI59082,1,,FALSE,FALSE,0
CHEBI59087,1,,FALSE,FALSE,0
CHEBI59092,1,,FALSE,FALSE,0
CHEBI61313,1,,FALSE,FALSE,0
CHEBI62098,1,,FALSE,FALSE,0
CHIBe_c,1,,FALSE,FALSE,0
CHITOe_c,1,,FALSE,FALSE,0
CHITe_c,1,,FALSE,FALSE,0
CHOLINE_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
CHOe_c,1,,FALSE,FALSE,0
CITRe_c,1,,FALSE,FALSE,0
CIT_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
CITe_c,1,,FALSE,FALSE,0
CL_DASH__CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
CO2e_c,1,,FALSE,FALSE,0
CPD0_DASH_1108_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
CPD0_DASH_1110_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
CPD0_DASH_1445_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
CPD2T_DASH_22_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
CPD2T_DASH_69_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
CPD2T_DASH_85_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
CPD66_DASH_39,1,,FALSE,FALSE,0
CPD_DASH_10330_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
CPD_DASH_10723_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
CPD_DASH_10725_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
CPD_DASH_10726_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
CPD_DASH_10814_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
CPD_DASH_12601_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
CPD_DASH_13390_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
CPD_DASH_13393_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
CPD_DASH_13394_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
CPD_DASH_13395_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
CPD_DASH_13397_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
CPD_DASH_13398_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
CPD_DASH_13401_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
CPD_DASH_13403_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
CPD_DASH_13404_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
CPD_DASH_13406_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
CPD_DASH_13409_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
CPD_DASH_15699,1,,FALSE,FALSE,0
CPD_DASH_210_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
CPD_DASH_218_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
CPD_DASH_3569_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
CPD_DASH_5601_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
CPD_DASH_5602_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
CPD_DASH_9569_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
CYNEe_c,1,,FALSE,FALSE,0
CYSTe_c,1,,FALSE,FALSE,0
CYS_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
CYSe_c,1,,FALSE,FALSE,0
CYTOSINE_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
CYTSe_c,1,,FALSE,FALSE,0
