orig_met,without_compartment,new_met,new_met_out,compartment,conversion_successful,conversion_type,encoding_issues_fixed,database_sources
cpd00080__91__c0__93__,cpd00080,MNXM66,MNXM66[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00080__91__e0__93__,cpd00080,MNXM66,MNXM66[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00081__91__c0__93__,cpd00081,MNXM726339,MNXM726339[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00082__91__c0__93__,cpd00082,MNXM1380,MNXM1380[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00082__91__e0__93__,cpd00082,MNXM1380,MNXM1380[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00082b__91__c0__93__,cpd00082b,cpd00082b,cpd00082b[c],c,FALSE,Unchanged,TRUE,None
cpd00083__91__c0__93__,cpd00083,MNXM82,MNXM82[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00084__91__c0__93__,cpd00084,MNXM738067,MNXM738067[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00084__91__e0__93__,cpd00084,MNXM738067,MNXM738067[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00085__91__c0__93__,cpd00085,MNXM144,MNXM144[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00086__91__c0__93__,cpd00086,MNXM86,MNXM86[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00087__91__c0__93__,cpd00087,MNXM89609,MNXM89609[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00089__91__c0__93__,cpd00089,MNXM89588,MNXM89588[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00091__91__c0__93__,cpd00091,MNXM80,MNXM80[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00092__91__c0__93__,cpd00092,MNXM1369194,MNXM1369194[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00092__91__e0__93__,cpd00092,MNXM1369194,MNXM1369194[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00093__91__c0__93__,cpd00093,MNXM188,MNXM188[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00094__91__c0__93__,cpd00094,MNXM159,MNXM159[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00095__91__c0__93__,cpd00095,MNXM77,MNXM77[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00096__91__c0__93__,cpd00096,MNXM220,MNXM220[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00098__91__c0__93__,cpd00098,MNXM90,MNXM90[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00098__91__e0__93__,cpd00098,MNXM90,MNXM90[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00100__91__c0__93__,cpd00100,MNXM89612,MNXM89612[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00100__91__e0__93__,cpd00100,MNXM89612,MNXM89612[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00101__91__c0__93__,cpd00101,MNXM116,MNXM116[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00102__91__c0__93__,cpd00102,MNXM74,MNXM74[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00103__91__c0__93__,cpd00103,MNXM91,MNXM91[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00104__91__c0__93__,cpd00104,MNXM304,MNXM304[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00104__91__e0__93__,cpd00104,MNXM304,MNXM304[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00105__91__c0__93__,cpd00105,MNXM732914,MNXM732914[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00105__91__e0__93__,cpd00105,MNXM732914,MNXM732914[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00106__91__c0__93__,cpd00106,MNXM93,MNXM93[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
