orig_met,without_compartment,new_met,new_met_out,compartment,conversion_successful,conversion_type,encoding_issues_fixed,database_sources
C00877__91__m__93__,C00877,MNXM732506,MNXM732506[m],m,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C04253__91__m__93__,C04253,MNXM2228,MNXM2228[m],m,TRUE,MetanetX conversion,TRUE,kegg
C00527__91__m__93__,C00527,MNXM382,MNXM382[m],m,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C04570__91__m__93__,C04570,MNXM162270,MNXM162270[m],m,TRUE,MetanetX conversion,TRUE,kegg
C14397__91__c__93__,C14397,MNXM1398,MNXM1398[c],c,TRUE,MetanetX conversion,TRUE,kegg
C00051__91__c__93__,C00051,MNXM738320,MNXM738320[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00698__91__c__93__,C00698,MNXM735978,C00698[c],c,TRUE,MetanetX conversion,TRUE,kegg
Cluster1311__91__c__93__,Cluster1311,Cluster1311,Cluster1311[c],c,FALSE,Unchanged,TRUE,None
C14397__91__m__93__,C14397,MNXM1398,MNXM1398[m],m,TRUE,MetanetX conversion,TRUE,kegg
C00051__91__m__93__,C00051,MNXM738320,MNXM738320[m],m,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00698__91__m__93__,C00698,MNXM735978,C00698[m],m,TRUE,MetanetX conversion,TRUE,kegg
Cluster1311__91__m__93__,Cluster1311,Cluster1311,Cluster1311[m],m,FALSE,Unchanged,TRUE,None
C00263__91__c__93__,C00263,MNXM353,MNXM353[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00451__91__n__93__,C00451,MNXM162,MNXM162[n],n,TRUE,MetanetX conversion,TRUE,kegg
C00042__91__n__93__,C00042,MNXM25,MNXM25[n],n,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00048__91__n__93__,C00048,MNXM69,MNXM69[n],n,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00451__91__c__93__,C00451,MNXM162,MNXM162[c],c,TRUE,MetanetX conversion,TRUE,kegg
C00042__91__c__93__,C00042,MNXM25,MNXM25[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00048__91__c__93__,C00048,MNXM69,MNXM69[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00451__91__m__93__,C00451,MNXM162,MNXM162[m],m,TRUE,MetanetX conversion,TRUE,kegg
C00042__91__m__93__,C00042,MNXM25,MNXM25[m],m,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00048__91__m__93__,C00048,MNXM69,MNXM69[m],m,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00026__91__c__93__,C00026,MNXM1369648,MNXM1369648[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00451__91__p__93__,C00451,MNXM162,MNXM162[peroxisome],peroxisome,TRUE,MetanetX conversion,TRUE,kegg
C00006__91__p__93__,C00006,MNXM5,MNXM5[peroxisome],peroxisome,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00005__91__p__93__,C00005,MNXM738702,MNXM738702[peroxisome],peroxisome,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00011__91__p__93__,C00011,MNXM13,MNXM13[peroxisome],peroxisome,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00026__91__p__93__,C00026,MNXM1369648,MNXM1369648[peroxisome],peroxisome,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00026__91__m__93__,C00026,MNXM1369648,MNXM1369648[m],m,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00350__91__c__93__,C00350,MNXM115,MNXM115[c],c,TRUE,MetanetX conversion,TRUE,kegg
CHEBI49183__91__c__93__,CHEBI49183,MNXM5739,CHEBI49183[c],c,TRUE,MetanetX conversion,TRUE,chebi
C02737__91__c__93__,C02737,MNXM1108035,MNXM1108035[c],c,TRUE,MetanetX conversion,TRUE,kegg
C01194__91__c__93__,C01194,MNXM1104079,MNXM1104079[c],c,TRUE,MetanetX conversion,TRUE,kegg
C05980__91__c__93__,C05980,MNXM731145,MNXM731145[c],c,TRUE,MetanetX conversion,TRUE,kegg
C04438__91__c__93__,C04438,MNXM1107785,MNXM1107785[c],c,TRUE,MetanetX conversion,TRUE,kegg
C04230__91__c__93__,C04230,MNXM1107997,MNXM1107997[c],c,TRUE,MetanetX conversion,TRUE,"kegg, chebi"
C01694__91__c__93__,C01694,MNXM741449,MNXM741449[c],c,TRUE,MetanetX conversion,TRUE,kegg
C01724__91__c__93__,C01724,MNXM736942,MNXM736942[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C15777__91__c__93__,C15777,MNXM1371083,MNXM1371083[c],c,TRUE,MetanetX conversion,TRUE,kegg
C01885__91__c__93__,C01885,MNXM1133941,MNXM1133941[c],c,TRUE,MetanetX conversion,TRUE,"kegg, chebi"
C00165__91__c__93__,C00165,MNXM738569,MNXM738569[c],c,TRUE,MetanetX conversion,TRUE,kegg
C00422__91__c__93__,C00422,MNXM732989,MNXM732989[c],c,TRUE,MetanetX conversion,TRUE,"kegg, chebi"
C06424__91__c__93__,C06424,MNXM162239,MNXM162239[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00249__91__c__93__,C00249,MNXM108,MNXM108[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C08362__91__c__93__,C08362,MNXM950,MNXM950[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C01530__91__c__93__,C01530,MNXM236,MNXM236[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00712__91__c__93__,C00712,MNXM92305,MNXM92305[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, kegg, chebi"
C01595__91__c__93__,C01595,MNXM293,MNXM293[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C06427__91__c__93__,C06427,MNXM794,MNXM794[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C03172__91__c__93__,C03172,MNXM681265,MNXM681265[c],c,TRUE,MetanetX conversion,TRUE,kegg
C00073__91__c__93__,C00073,MNXM738803,MNXM738803[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
Cluster5062__91__m__93__,Cluster5062,Cluster5062,Cluster5062[m],m,FALSE,Unchanged,TRUE,None
C04225__91__m__93__,C04225,MNXM1792,MNXM1792[m],m,TRUE,MetanetX conversion,TRUE,kegg
Cluster3592__91__n__93__,Cluster3592,Cluster3592,Cluster3592[n],n,FALSE,Unchanged,TRUE,None
C00031__91__n__93__,C00031,MNXM735623,MNXM735623[n],n,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00267__91__n__93__,C00267,MNXM1105027,MNXM1105027[n],n,TRUE,MetanetX conversion,TRUE,kegg
Cluster3592__91__c__93__,Cluster3592,Cluster3592,Cluster3592[c],c,FALSE,Unchanged,TRUE,None
C00031__91__c__93__,C00031,MNXM735623,MNXM735623[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00267__91__c__93__,C00267,MNXM1105027,MNXM1105027[c],c,TRUE,MetanetX conversion,TRUE,kegg
Cluster3592__91__p__93__,Cluster3592,Cluster3592,Cluster3592[peroxisome],peroxisome,FALSE,Unchanged,TRUE,None
C00001__91__p__93__,C00001,MNXM2,MNXM2[peroxisome],peroxisome,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00031__91__p__93__,C00031,MNXM735623,MNXM735623[peroxisome],peroxisome,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00267__91__p__93__,C00267,MNXM1105027,MNXM1105027[peroxisome],peroxisome,TRUE,MetanetX conversion,TRUE,kegg
C00763__91__c__93__,C00763,MNXM162989,MNXM162989[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00431__91__c__93__,C00431,MNXM792,MNXM792[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00025__91__c__93__,C00025,MNXM741172,C00025[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00037__91__c__93__,C00037,MNXM29,MNXM29[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00047__91__c__93__,C00047,MNXM1104802,MNXM1104802[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00049__91__c__93__,C00049,MNXM735837,MNXM735837[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00062__91__c__93__,C00062,MNXM739526,MNXM739526[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00064__91__c__93__,C00064,MNXM37,MNXM37[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00078__91__c__93__,C00078,MNXM94,MNXM94[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00079__91__c__93__,C00079,MNXM741663,MNXM741663[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00082__91__c__93__,C00082,MNXM76,MNXM76[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00097__91__c__93__,C00097,MNXM738067,MNXM738067[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00123__91__c__93__,C00123,MNXM1106760,MNXM1106760[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
