orig_met,without_compartment,new_met,new_met_out,compartment,conversion_successful,conversion_type,encoding_issues_fixed,database_sources
s[0567],s,MNXM1364359,MNXM1364359[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0568],s,MNXM1364259,MNXM1364259[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0570],s,MNXM435,MNXM435[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0571],s,MNXM1364255,MNXM1364255[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0572],s,MNXM1364255,MNXM1364255[e],e,TRUE,MetanetX conversion,FALSE,kegg
s[0573],s,MNXM1106057,MNXM1106057[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0574],s,MNXM1364256,MNXM1364256[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0575],s,MNXM1108051,MNXM1108051[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0577],s,MNXM145,MNXM145[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0578],s,MNXM169454,MNXM169454[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0580],s,MNXM1372400,MNXM1372400[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0581],s,MNXM186,MNXM186[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0582],s,MNXM735047,MNXM735047[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0583],s,MNXM735047,MNXM735047[n],n,TRUE,MetanetX conversion,FALSE,kegg
s[0584],s,MNXM432,MNXM432[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0585],s,MNXM432,MNXM432[m],m,TRUE,MetanetX conversion,FALSE,kegg
s[0586],s,MNXM286,MNXM286[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0587],s,MNXM411,MNXM411[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0588],s,MNXM411,MNXM411[n],n,TRUE,MetanetX conversion,FALSE,kegg
s[0589],s,MNXM266,MNXM266[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0590],s,MNXM360,MNXM360[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0591],s,MNXM1103300,MNXM1103300[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0593],s,MNXM1103300,MNXM1103300[n],n,TRUE,MetanetX conversion,FALSE,kegg
s[0595],s,MNXM1043,MNXM1043[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, seed, kegg"
s[0605],s,MNXM1092836,MNXM1092836[p],p,TRUE,MetanetX conversion,FALSE,kegg
s[0606],s,MNXM1372452,MNXM1372452[lp],lp,TRUE,MetanetX conversion,FALSE,kegg
s[0607],s,MNXM1372439,MNXM1372439[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0608],s,s,s[c],c,FALSE,Unchanged,FALSE,None
s[0609],s,s,s[n],n,FALSE,Unchanged,FALSE,None
s[0613],s,MNXM436,MNXM436[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0614],s,MNXM436,MNXM436[n],n,TRUE,MetanetX conversion,FALSE,kegg
s[0615],s,MNXM736654,MNXM736654[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0616],s,MNXM736654,MNXM736654[m],m,TRUE,MetanetX conversion,FALSE,kegg
s[0617],s,MNXM344,MNXM344[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0618],s,MNXM2174,MNXM2174[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0620],s,MNXM738569,MNXM738569[er],er,TRUE,MetanetX conversion,FALSE,kegg
s[0625],s,MNXM281,MNXM281[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0626],s,MNXM281,MNXM281[m],m,TRUE,MetanetX conversion,FALSE,kegg
s[0627],s,MNXM1277,MNXM1277[m],m,TRUE,MetanetX conversion,FALSE,kegg
s[0628],s,MNXM731215,MNXM731215[m],m,TRUE,MetanetX conversion,FALSE,kegg
s[0629],s,MNXM77,MNXM77[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0632],s,MNXM77,MNXM77[m],m,TRUE,MetanetX conversion,FALSE,kegg
s[0633],s,MNXM11,MNXM11[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0635],s,MNXM11,MNXM11[lp],lp,TRUE,MetanetX conversion,FALSE,kegg
s[0636],s,MNXM11,MNXM11[m],m,TRUE,MetanetX conversion,FALSE,kegg
s[0637],s,MNXM11,MNXM11[n],n,TRUE,MetanetX conversion,FALSE,kegg
s[0638],s,MNXM11,MNXM11[p],p,TRUE,MetanetX conversion,FALSE,kegg
s[0639],s,MNXM728062,MNXM728062[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0640],s,s,s[lp],lp,FALSE,Unchanged,FALSE,None
s[0641],s,s,s[lp],lp,FALSE,Unchanged,FALSE,None
s[0644],s,MNXM733595,MNXM733595[er],er,TRUE,MetanetX conversion,FALSE,kegg
s[0645],s,MNXM1107957,MNXM1107957[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0646],s,MNXM1107957,MNXM1107957[er],er,TRUE,MetanetX conversion,FALSE,kegg
s[0647],s,MNXM152,MNXM152[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0649],s,MNXM257,MNXM257[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0650],s,MNXM394,MNXM394[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0652],s,MNXM572,MNXM572[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0653],s,MNXM572,MNXM572[n],n,TRUE,MetanetX conversion,FALSE,kegg
s[0654],s,MNXM234,MNXM234[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0655],s,MNXM234,MNXM234[n],n,TRUE,MetanetX conversion,FALSE,kegg
s[0656],s,MNXM452,MNXM452[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0657],s,MNXM1371083,MNXM1371083[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0659],s,MNXM1371083,MNXM1371083[e],e,TRUE,MetanetX conversion,FALSE,kegg
s[0662],s,MNXM1109,MNXM1109[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0663],s,MNXM1109,MNXM1109[er],er,TRUE,MetanetX conversion,FALSE,kegg
s[0664],s,MNXM1371328,MNXM1371328[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0665],s,MNXM741449,MNXM741449[ce],ce,TRUE,MetanetX conversion,FALSE,kegg
s[0666],s,MNXM741449,MNXM741449[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0667],s,MNXM741449,MNXM741449[er],er,TRUE,MetanetX conversion,FALSE,kegg
s[0668],s,MNXM741449,MNXM741449[e],e,TRUE,MetanetX conversion,FALSE,kegg
s[0669],s,MNXM741449,MNXM741449[lp],lp,TRUE,MetanetX conversion,FALSE,kegg
s[0670],s,s,s[c],c,FALSE,Unchanged,FALSE,None
s[0677],s,MNXM1372570,MNXM1372570[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0678],s,MNXM1372570,MNXM1372570[m],m,TRUE,MetanetX conversion,FALSE,kegg
s[0679],s,MNXM1372570,MNXM1372570[p],p,TRUE,MetanetX conversion,FALSE,kegg
s[0680],s,MNXM1108092,MNXM1108092[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0682],s,MNXM1108092,MNXM1108092[m],m,TRUE,MetanetX conversion,FALSE,kegg
s[0683],s,MNXM218,MNXM218[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0685],s,MNXM8595,MNXM8595[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0687],s,MNXM33,MNXM33[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
s[0688],s,MNXM1364297,MNXM1364297[m],m,TRUE,MetanetX conversion,FALSE,kegg
s[0689],s,MNXM1105762,MNXM1105762[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0690],s,MNXM1105762,MNXM1105762[m],m,TRUE,MetanetX conversion,FALSE,kegg
s[0692],s,MNXM1363934,MNXM1363934[lp],lp,TRUE,MetanetX conversion,FALSE,kegg
s[0694],s,MNXM739606,MNXM739606[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
s[0699],s,MNXM731707,MNXM731707[ce],ce,TRUE,MetanetX conversion,FALSE,kegg
s[0700],s,MNXM731707,MNXM731707[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0702],s,MNXM731707,MNXM731707[e],e,TRUE,MetanetX conversion,FALSE,kegg
s[0703],s,MNXM731707,MNXM731707[lp],lp,TRUE,MetanetX conversion,FALSE,kegg
s[0709],s,MNXM731952,MNXM731952[m],m,TRUE,MetanetX conversion,FALSE,kegg
s[0710],s,MNXM731957,MNXM731957[m],m,TRUE,MetanetX conversion,FALSE,kegg
s[0712],s,MNXM1369759,MNXM1369759[m],m,TRUE,MetanetX conversion,FALSE,kegg
s[0714],s,MNXM1364295,MNXM1364295[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0715],s,MNXM1364295,MNXM1364295[e],e,TRUE,MetanetX conversion,FALSE,kegg
s[0716],s,MNXM1364295,MNXM1364295[m],m,TRUE,MetanetX conversion,FALSE,kegg
s[0717],s,MNXM208,MNXM208[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
s[0721],s,MNXM1365101,MNXM1365101[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0722],s,MNXM39,MNXM39[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0724],s,MNXM39,MNXM39[m],m,TRUE,MetanetX conversion,FALSE,kegg
s[0725],s,MNXM737340,MNXM737340[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0727],s,MNXM737340,MNXM737340[m],m,TRUE,MetanetX conversion,FALSE,kegg
s[0734],s,MNXM192,MNXM192[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0736],s,MNXM192,MNXM192[e],e,TRUE,MetanetX conversion,FALSE,kegg
s[0738],s,MNXM192,MNXM192[m],m,TRUE,MetanetX conversion,FALSE,kegg
s[0739],s,MNXM1103285,MNXM1103285[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0740],s,MNXM1103285,MNXM1103285[g],g,TRUE,MetanetX conversion,FALSE,kegg
s[0741],s,MNXM1103285,MNXM1103285[m],m,TRUE,MetanetX conversion,FALSE,kegg
s[0742],s,MNXM1103285,MNXM1103285[n],n,TRUE,MetanetX conversion,FALSE,kegg
s[0743],s,MNXM1104188,MNXM1104188[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0744],s,MNXM1104188,MNXM1104188[g],g,TRUE,MetanetX conversion,FALSE,kegg
s[0745],s,MNXM100,MNXM100[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0746],s,MNXM728266,MNXM728266[lp],lp,TRUE,MetanetX conversion,FALSE,kegg
s[0747],s,MNXM741204,MNXM741204[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0748],s,MNXM731035,MNXM731035[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0749],s,MNXM731035,MNXM731035[m],m,TRUE,MetanetX conversion,FALSE,kegg
s[0750],s,MNXM490899,MNXM490899[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0752],s,MNXM490899,MNXM490899[m],m,TRUE,MetanetX conversion,FALSE,kegg
s[0753],s,MNXM490899,MNXM490899[v],v,TRUE,MetanetX conversion,FALSE,kegg
s[0754],s,MNXM1372264,MNXM1372264[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0756],s,MNXM1372264,MNXM1372264[m],m,TRUE,MetanetX conversion,FALSE,kegg
s[0757],s,MNXM741181,MNXM741181[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0764],s,MNXM1373252,MNXM1373252[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0765],s,MNXM89612,MNXM89612[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0766],s,MNXM89612,MNXM89612[e],e,TRUE,MetanetX conversion,FALSE,kegg
s[0767],s,MNXM66,MNXM66[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0769],s,MNXM66,MNXM66[lp],lp,TRUE,MetanetX conversion,FALSE,kegg
s[0770],s,MNXM66,MNXM66[m],m,TRUE,MetanetX conversion,FALSE,kegg
s[0771],s,MNXM460,MNXM460[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0773],s,MNXM738131,MNXM738131[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0774],s,MNXM738131,MNXM738131[v],v,TRUE,MetanetX conversion,FALSE,kegg
s[0775],s,MNXM734590,MNXM734590[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0777],s,MNXM734590,MNXM734590[m],m,TRUE,MetanetX conversion,FALSE,kegg
s[0779],s,MNXM69,MNXM69[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0781],s,MNXM69,MNXM69[p],p,TRUE,MetanetX conversion,FALSE,kegg
s[0782],s,MNXM1101285,MNXM1101285[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0783],s,MNXM1101285,MNXM1101285[g],g,TRUE,MetanetX conversion,FALSE,kegg
s[0785],s,MNXM1103553,MNXM1103553[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0786],s,MNXM1103553,MNXM1103553[m],m,TRUE,MetanetX conversion,FALSE,kegg
s[0787],s,MNXM733114,MNXM733114[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0788],s,MNXM733114,MNXM733114[e],e,TRUE,MetanetX conversion,FALSE,kegg
s[0789],s,MNXM733114,MNXM733114[m],m,TRUE,MetanetX conversion,FALSE,kegg
s[0790],s,MNXM1103400,MNXM1103400[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0792],s,MNXM1103400,MNXM1103400[m],m,TRUE,MetanetX conversion,FALSE,kegg
s[0793],s,MNXM1,MNXM1[ce],ce,TRUE,MetanetX conversion,FALSE,kegg
s[0794],s,MNXM1,MNXM1[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0795],s,MNXM1,MNXM1[er],er,TRUE,MetanetX conversion,FALSE,kegg
s[0796],s,MNXM1,MNXM1[e],e,TRUE,MetanetX conversion,FALSE,kegg
s[0797],s,MNXM1,MNXM1[g],g,TRUE,MetanetX conversion,FALSE,kegg
s[0798],s,MNXM1,MNXM1[lp],lp,TRUE,MetanetX conversion,FALSE,kegg
s[0799],s,MNXM1,MNXM1[m],m,TRUE,MetanetX conversion,FALSE,kegg
s[0800],s,MNXM1,MNXM1[n],n,TRUE,MetanetX conversion,FALSE,kegg
s[0801],s,MNXM1,MNXM1[p],p,TRUE,MetanetX conversion,FALSE,kegg
s[0802],s,MNXM1,MNXM1[v],v,TRUE,MetanetX conversion,FALSE,kegg
s[0803],s,WATER,WATER[c],c,TRUE,Other conversion,FALSE,kegg
s[0804],s,WATER,WATER[er],er,TRUE,Other conversion,FALSE,kegg
s[0805],s,WATER,WATER[e],e,TRUE,Other conversion,FALSE,kegg
s[0806],s,WATER,WATER[g],g,TRUE,Other conversion,FALSE,kegg
s[0807],s,WATER,WATER[m],m,TRUE,Other conversion,FALSE,kegg
s[0808],s,WATER,WATER[n],n,TRUE,Other conversion,FALSE,kegg
s[0809],s,WATER,WATER[p],p,TRUE,Other conversion,FALSE,kegg
s[0810],s,WATER,WATER[v],v,TRUE,Other conversion,FALSE,kegg
s[0811],s,MNXM1373087,MNXM1373087[m],m,TRUE,MetanetX conversion,FALSE,kegg
s[0812],s,MNXM1364566,MNXM1364566[m],m,TRUE,MetanetX conversion,FALSE,kegg
s[0813],s,s,s[lp],lp,FALSE,Unchanged,FALSE,None
s[0814],s,s,s[lp],lp,FALSE,Unchanged,FALSE,None
s[0815],s,MNXM731634,MNXM731634[lp],lp,TRUE,MetanetX conversion,FALSE,kegg
s[0816],s,s,s[c],c,FALSE,Unchanged,FALSE,None
s[0817],s,s,s[er],er,FALSE,Unchanged,FALSE,None
s[0819],s,s,s[p],p,FALSE,Unchanged,FALSE,None
s[0823],s,s,s[p],p,FALSE,Unchanged,FALSE,None
s[0825],s,MNXM528,MNXM528[er],er,TRUE,MetanetX conversion,FALSE,kegg
s[0829],s,s,s[lp],lp,FALSE,Unchanged,FALSE,None
s[0830],s,MNXM726465,MNXM726465[lp],lp,TRUE,MetanetX conversion,FALSE,kegg
s[0831],s,MNXM726465,MNXM726465[m],m,TRUE,MetanetX conversion,FALSE,kegg
s[0832],s,MNXM741218,MNXM741218[c],c,TRUE,MetanetX conversion,FALSE,kegg
s[0833],s,MNXM741218,MNXM741218[m],m,TRUE,MetanetX conversion,FALSE,kegg
