orig_met,without_compartment,new_met,new_met_out,compartment,conversion_successful,conversion_type,encoding_issues_fixed,database_sources
m0274__91__e0__93__,m0274,MNXM727692,MNXM727692[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0275__91__c0__93__,m0275,MNXM727692,MNXM727692[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0276__91__c0__93__,m0276,MNXM734853,MNXM734853[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0277__91__c0__93__,m0277,MNXM1093051,MNXM1093051[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0278__91__c0__93__,m0278,MNXM133,MNXM133[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0279__91__m0__93__,m0279,MNXM133,MNXM133[m],m,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0280__91__c0__93__,m0280,MNXM1746,MNXM1746[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0281__91__c0__93__,m0281,MNXM935,MNXM935[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0282__91__c0__93__,m0282,MNXM541,MNXM541[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0283__91__c0__93__,m0283,MNXM738605,MNXM738605[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0284__91__m0__93__,m0284,MNXM727786,MNXM727786[m],m,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0285__91__c0__93__,m0285,MNXM287,MNXM287[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0286__91__c0__93__,m0286,MNXM204,MNXM204[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0287__91__c0__93__,m0287,MNXM422,MNXM422[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0288__91__c0__93__,m0288,MNXM21,MNXM21[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0289__91__m0__93__,m0289,MNXM21,MNXM21[m],m,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0290__91__c0__93__,m0290,MNXM49,MNXM49[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0291__91__c0__93__,m0291,MNXM159,MNXM159[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0292__91__c0__93__,m0292,MNXM1617,MNXM1617[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0293__91__m0__93__,m0293,MNXM470,MNXM470[m],m,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0294__91__c0__93__,m0294,MNXM1514,MNXM1514[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0295__91__m0__93__,m0295,MNXM89609,MNXM89609[m],m,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0297__91__c0__93__,m0297,MNXM689,MNXM689[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0298__91__c0__93__,m0298,MNXM89609,MNXM89609[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0299__91__m0__93__,m0299,MNXM159,MNXM159[m],m,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0300__91__c0__93__,m0300,MNXM231,MNXM231[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0301__91__e0__93__,m0301,MNXM231,MNXM231[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0302__91__c0__93__,m0302,MNXM121,MNXM121[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0303__91__c0__93__,m0303,MNXM153,MNXM153[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0304__91__c0__93__,m0304,MNXM763,MNXM763[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0305__91__m0__93__,m0305,MNXM231,MNXM231[m],m,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0306__91__c0__93__,m0306,MNXM1397,MNXM1397[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0307__91__m0__93__,m0307,MNXM237,MNXM237[m],m,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0308__91__c0__93__,m0308,MNXM237,MNXM237[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0309__91__e0__93__,m0309,MNXM544,MNXM544[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0310__91__m0__93__,m0310,MNXM733947,MNXM733947[m],m,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0311__91__c0__93__,m0311,MNXM544,MNXM544[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0312__91__c0__93__,m0312,MNXM741174,MNXM741174[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0314__91__m0__93__,m0314,MNXM741174,MNXM741174[m],m,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0315__91__e0__93__,m0315,MNXM739526,MNXM739526[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0316__91__c0__93__,m0316,MNXM739526,MNXM739526[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0317__91__m0__93__,m0317,MNXM569,MNXM569[m],m,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0318__91__c0__93__,m0318,MNXM441,MNXM441[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0319__91__m0__93__,m0319,MNXM817,MNXM817[m],m,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0320__91__c0__93__,m0320,MNXM142,MNXM142[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0321__91__c0__93__,m0321,MNXM17,MNXM17[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0322__91__e0__93__,m0322,MNXM142,MNXM142[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0323__91__c0__93__,m0323,MNXM355,MNXM355[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0324__91__m0__93__,m0324,MNXM722725,MNXM722725[m],m,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0325__91__c0__93__,m0325,MNXM90905,MNXM90905[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0326__91__c0__93__,m0326,MNXM344,MNXM344[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0327__91__c0__93__,m0327,MNXM734589,MNXM734589[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0328__91__c0__93__,m0328,MNXM733947,MNXM733947[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0329__91__c0__93__,m0329,MNXM1369648,MNXM1369648[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0330__91__e0__93__,m0330,MNXM1369648,MNXM1369648[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0331__91__m0__93__,m0331,MNXM1369648,MNXM1369648[m],m,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0332__91__c0__93__,m0332,MNXM722725,MNXM722725[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0333__91__c0__93__,m0333,MNXM321,MNXM321[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0334__91__c0__93__,m0334,MNXM82173,MNXM82173[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0335__91__c0__93__,m0335,MNXM90673,MNXM90673[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0336__91__c0__93__,m0336,MNXM732914,MNXM732914[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0337__91__c0__93__,m0337,MNXM52,MNXM52[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0338__91__e0__93__,m0338,MNXM732914,MNXM732914[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0339__91__c0__93__,m0339,MNXM89612,MNXM89612[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
