orig_met,without_compartment,new_met,new_met_out,compartment,conversion_successful,conversion_type,encoding_issues_fixed,database_sources
s7p[c],s7p,MNXM733314,MNXM733314[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
salc[c],salc,MNXM378,MNXM378[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
salcn6p[c],salcn6p,MNXM3356,MNXM3356[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
salcn[e],salcn,MNXM2561,MNXM2561[e],e,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
sarcs[c],sarcs,MNXM300,MNXM300[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
sbt6p[c],sbt6p,MNXM735319,MNXM735319[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
sbt__D[c],sbt__D,MNXM736685,MNXM736685[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
sbt__D[e],sbt__D,MNXM736685,MNXM736685[e],e,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
sbzcoa[c],sbzcoa,MNXM726805,MNXM726805[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
scb1[c],scb1,scb1,scb1[c],c,FALSE,Unchanged,FALSE,None
scb1[e],scb1,scb1,scb1[e],e,FALSE,Unchanged,FALSE,None
scb2[c],scb2,scb2,scb2[c],c,FALSE,Unchanged,FALSE,None
scb2[e],scb2,scb2,scb2[e],e,FALSE,Unchanged,FALSE,None
scb3[c],scb3,scb3,scb3[c],c,FALSE,Unchanged,FALSE,None
scb3[e],scb3,scb3,scb3[e],e,FALSE,Unchanged,FALSE,None
scl[c],scl,MNXM740870,MNXM740870[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
sdhliplys[c],sdhliplys,MNXM738207,MNXM738207[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
ser__D[c],ser__D,MNXM694,MNXM694[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
ser__D[e],ser__D,MNXM694,MNXM694[e],e,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
ser__L[c],ser__L,MNXM737786,MNXM737786[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
ser__L[e],ser__L,MNXM737786,MNXM737786[e],e,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
sertrna[c],sertrna,MNXM741351,MNXM741351[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
sheme[c],sheme,MNXM82173,MNXM82173[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
skm5p[c],skm5p,MNXM1265,MNXM1265[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
skm[c],skm,MNXM602,MNXM602[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
skm[e],skm,MNXM602,MNXM602[e],e,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
sl26da[c],sl26da,MNXM729177,MNXM729177[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
sl2a6o[c],sl2a6o,MNXM1563,MNXM1563[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
sl__L[c],sl__L,MNXM90148,MNXM90148[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
so3[c],so3,MNXM726339,MNXM726339[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
so4[c],so4,MNXM58,MNXM58[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
so4[e],so4,MNXM58,MNXM58[e],e,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
sorb14lac[c],sorb14lac,MNXM12065,MNXM12065[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg"
spmd[c],spmd,MNXM124,MNXM124[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
spmd[e],spmd,MNXM124,MNXM124[e],e,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
sprm[c],sprm,MNXM408,MNXM408[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
sql[c],sql,MNXM292,MNXM292[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
stcoa[c],stcoa,MNXM733343,MNXM733343[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
stmyn[c],stmyn,MNXM1091,MNXM1091[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
strep6p[c],strep6p,MNXM2286,MNXM2286[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
strprub[c],strprub,strprub,strprub[c],c,FALSE,Unchanged,FALSE,bigg
stys[c],stys,MNXM729340,MNXM729340[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
sucbz[c],sucbz,MNXM1212,MNXM1212[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
succ[c],succ,MNXM25,MNXM25[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
