orig_met,without_compartment,new_met,new_met_out,compartment,conversion_successful,conversion_type,encoding_issues_fixed
adp[c],adp,MNXM40333,MNXM40333[internal_s],internal_s,TRUE,MetanetX conversion,FALSE
reduced_cytochrome[c],reduced_cytochrome,reduced_cytochrome,reduced_cytochrome[internal_s],internal_s,FALSE,Unchanged,FALSE
h4mpt[c],h4mpt,MNXM1103753,MNXM1103753[internal_s],internal_s,TRUE,MetanetX conversion,FALSE
thf[c],thf,MNXM1103936,MNXM1103936[internal_s],internal_s,TRUE,MetanetX conversion,FALSE
nad[c],nad,MNXM8,MNXM8[internal_s],internal_s,TRUE,MetanetX conversion,FALSE
nadp[c],nadp,MNXM5,MNXM5[internal_s],internal_s,TRUE,MetanetX conversion,FALSE
q[c],q,MNXM9201,MNXM9201[internal_s],internal_s,TRUE,MetanetX conversion,FALSE
imp[c],imp,MNXM1101868,MNXM1101868[internal_s],internal_s,TRUE,MetanetX conversion,FALSE
gmp[c],gmp,MNXM1101285,MNXM1101285[internal_s],internal_s,TRUE,MetanetX conversion,FALSE
gdp[c],gdp,MNXM1103285,MNXM1103285[internal_s],internal_s,TRUE,MetanetX conversion,FALSE
eig3p[c],eig3p,MNXM1422,MNXM1422[internal_s],internal_s,TRUE,MetanetX conversion,FALSE
aicar[c],aicar,MNXM1103365,MNXM1103365[internal_s],internal_s,TRUE,MetanetX conversion,FALSE
