orig_met,without_compartment,new_met,new_met_out,compartment,conversion_successful,conversion_type,encoding_issues_fixed
M00221[c],M00221,M00221,M00221[c],c,FALSE,Unchanged,FALSE
M00371[c],M00371,M00371,M00371[c],c,FALSE,Unchanged,FALSE
M02434[c],M02434,M02434,M02434[c],c,FALSE,Unchanged,FALSE
M01890[c],M01890,M01890,M01890[c],c,FALSE,Unchanged,FALSE
M02406[c],M02406,M02406,M02406[c],c,FALSE,Unchanged,FALSE
M01123[c],M01123,M01123,M01123[c],c,FALSE,Unchanged,FALSE
M00103[c],M00103,M00103,M00103[c],c,FALSE,Unchanged,FALSE
M00358[c],M00358,M00358,M00358[c],c,FALSE,Unchanged,FALSE
M03554[c],M03554,M03554,M03554[c],c,FALSE,Unchanged,FALSE
M03629[c],M03629,M03629,M03629[c],c,FALSE,Unchanged,FALSE
M00926[c],M00926,M00926,M00926[c],c,FALSE,Unchanged,FALSE
M01611[c],M01611,M01611,M01611[c],c,FALSE,Unchanged,FALSE
M03860[c],M03860,M03860,M03860[c],c,FALSE,Unchanged,FALSE
M00415[c],M00415,M00415,M00415[c],c,FALSE,Unchanged,FALSE
M00111[c],M00111,M00111,M00111[c],c,FALSE,Unchanged,FALSE
M00329[c],M00329,M00329,M00329[c],c,FALSE,Unchanged,FALSE
M00290[c],M00290,M00290,M00290[c],c,FALSE,Unchanged,FALSE
M00944[c],M00944,MNXM1101189,MNXM1101189[c],c,TRUE,MetanetX conversion,FALSE
M02994[c],M02994,M02994,M02994[c],c,FALSE,Unchanged,FALSE
M01612[c],M01612,M01612,M01612[c],c,FALSE,Unchanged,FALSE
M00895[c],M00895,M00895,M00895[c],c,FALSE,Unchanged,FALSE
M08647[c],M08647,M08647,M08647[c],c,FALSE,Unchanged,FALSE
M00175[c],M00175,M00175,M00175[c],c,FALSE,Unchanged,FALSE
M01613[c],M01613,M01613,M01613[c],c,FALSE,Unchanged,FALSE
M02517[c],M02517,M02517,M02517[c],c,FALSE,Unchanged,FALSE
M00147[c],M00147,M00147,M00147[c],c,FALSE,Unchanged,FALSE
M02040[c],M02040,M02040,M02040[c],c,FALSE,Unchanged,FALSE
M00252[c],M00252,M00252,M00252[c],c,FALSE,Unchanged,FALSE
M03832[c],M03832,M03832,M03832[c],c,FALSE,Unchanged,FALSE
M08002[c],M08002,M08002,M08002[c],c,FALSE,Unchanged,FALSE
M08003[c],M08003,M08003,M08003[c],c,FALSE,Unchanged,FALSE
M03441[c],M03441,M03441,M03441[c],c,FALSE,Unchanged,FALSE
M01435[c],M01435,M01435,M01435[c],c,FALSE,Unchanged,FALSE
M02432[c],M02432,M02432,M02432[c],c,FALSE,Unchanged,FALSE
M02310[c],M02310,M02310,M02310[c],c,FALSE,Unchanged,FALSE
M03052[c],M03052,M03052,M03052[c],c,FALSE,Unchanged,FALSE
M00468[c],M00468,MNXM1524586,MNXM1524586[c],c,TRUE,MetanetX conversion,FALSE
M01461[c],M01461,MNXM1103358,MNXM1103358[c],c,TRUE,MetanetX conversion,FALSE
M00359[c],M00359,M00359,M00359[c],c,FALSE,Unchanged,FALSE
M00054[c],M00054,MNXM744516,MNXM744516[c],c,TRUE,MetanetX conversion,FALSE
M01368[c],M01368,M01368,M01368[c],c,FALSE,Unchanged,FALSE
M00182[c],M00182,M00182,M00182[c],c,FALSE,Unchanged,FALSE
M00471[c],M00471,MNXM1524589,MNXM1524589[c],c,TRUE,MetanetX conversion,FALSE
M01449[c],M01449,M01449,M01449[c],c,FALSE,Unchanged,FALSE
M00032[c],M00032,M00032,M00032[c],c,FALSE,Unchanged,FALSE
M00748[c],M00748,M00748,M00748[c],c,FALSE,Unchanged,FALSE
M03582[c],M03582,M03582,M03582[c],c,FALSE,Unchanged,FALSE
M01001[c],M01001,M01001,M01001[c],c,FALSE,Unchanged,FALSE
M00873[c],M00873,MNXM744548,MNXM744548[c],c,TRUE,MetanetX conversion,FALSE
M00855[c],M00855,M00855,M00855[c],c,FALSE,Unchanged,FALSE
M01921[c],M01921,M01921,M01921[c],c,FALSE,Unchanged,FALSE
M00639[c],M00639,M00639,M00639[c],c,FALSE,Unchanged,FALSE
M00534[c],M00534,M00534,M00534[c],c,FALSE,Unchanged,FALSE
M00245[c],M00245,MNXM1370756,MNXM1370756[c],c,TRUE,MetanetX conversion,FALSE
M00156[c],M00156,M00156,M00156[c],c,FALSE,Unchanged,FALSE
M03498[c],M03498,M03498,M03498[c],c,FALSE,Unchanged,FALSE
M03502[c],M03502,M03502,M03502[c],c,FALSE,Unchanged,FALSE
M00232[c],M00232,MNXM1375000,MNXM1375000[c],c,TRUE,MetanetX conversion,FALSE
M00333[c],M00333,M00333,M00333[c],c,FALSE,Unchanged,FALSE
M00345[c],M00345,M00345,M00345[c],c,FALSE,Unchanged,FALSE
M02274[c],M02274,M02274,M02274[c],c,FALSE,Unchanged,FALSE
M01043[c],M01043,M01043,M01043[c],c,FALSE,Unchanged,FALSE
M02273[c],M02273,M02273,M02273[c],c,FALSE,Unchanged,FALSE
M03892[c],M03892,M03892,M03892[c],c,FALSE,Unchanged,FALSE
M20246[c],M20246,M20246,M20246[c],c,FALSE,Unchanged,FALSE
M00366[c],M00366,M00366,M00366[c],c,FALSE,Unchanged,FALSE
M03897[c],M03897,M03897,M03897[c],c,FALSE,Unchanged,FALSE
M03893[c],M03893,M03893,M03893[c],c,FALSE,Unchanged,FALSE
M03015[c],M03015,M03015,M03015[c],c,FALSE,Unchanged,FALSE
M00235[c],M00235,M00235,M00235[c],c,FALSE,Unchanged,FALSE
M02573[c],M02573,M02573,M02573[c],c,FALSE,Unchanged,FALSE
M03019[c],M03019,MNXM1101973,MNXM1101973[c],c,TRUE,MetanetX conversion,FALSE
M01155[c],M01155,M01155,M01155[c],c,FALSE,Unchanged,FALSE
M00039[c],M00039,MNXM1108061,MNXM1108061[c],c,TRUE,MetanetX conversion,FALSE
M01428[c],M01428,M01428,M01428[c],c,FALSE,Unchanged,FALSE
M00035[c],M00035,M00035,M00035[c],c,FALSE,Unchanged,FALSE
M00093[e],M00093,M00093,M00093[e],e,FALSE,Unchanged,FALSE
